name,precision,size[y,x]
layers.3.ffn_norm2.weight,BF16,4608
layers.30.adaln_modulation.bias,BF16,18432
layers.30.adaln_modulation.weight,F8_E4M3,18432x512
layers.30.adaln_modulation.weight_scale,F32,18432
layers.30.attention.norm_k.weight,BF16,256
layers.30.attention.norm_q.weight,BF16,256
layers.30.attention.o.weight,F8_E4M3,4608x4608
layers.30.attention.o.weight_scale,F32,4608
layers.30.attention.qkv.weight,F8_E4M3,13824x4608
layers.30.attention.qkv.weight_scale,F32,13824
layers.30.attention_norm1.weight,BF16,4608
layers.30.attention_norm2.weight,BF16,4608
layers.30.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.30.feed_forward.w1.weight_scale,F32,12288
layers.30.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.30.feed_forward.w2.weight_scale,F32,4608
layers.30.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.30.feed_forward.w3.weight_scale,F32,12288
layers.30.ffn_norm1.weight,BF16,4608
layers.30.ffn_norm2.weight,BF16,4608
layers.31.adaln_modulation.bias,BF16,18432
layers.31.adaln_modulation.weight,F8_E4M3,18432x512
layers.31.adaln_modulation.weight_scale,F32,18432
layers.31.attention.norm_k.weight,BF16,256
layers.31.attention.norm_q.weight,BF16,256
layers.31.attention.o.weight,F8_E4M3,4608x4608
layers.31.attention.o.weight_scale,F32,4608
layers.31.attention.qkv.weight,F8_E4M3,13824x4608
layers.31.attention.qkv.weight_scale,F32,13824
layers.31.attention_norm1.weight,BF16,4608
layers.31.attention_norm2.weight,BF16,4608
layers.31.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.31.feed_forward.w1.weight_scale,F32,12288
layers.31.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.31.feed_forward.w2.weight_scale,F32,4608
layers.31.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.31.feed_forward.w3.weight_scale,F32,12288
layers.31.ffn_norm1.weight,BF16,4608
layers.31.ffn_norm2.weight,BF16,4608
layers.32.adaln_modulation.bias,BF16,18432
